level_0,index,ISO Code,dt,CO2,population,delta,AverageTemperature,footprint
4844,4844,ITA,1998,7.7346487614895,56906744.0,-0.05025,13.662333333333335,316799081.758469
4845,4845,ITA,1999,7.765755082149816,56916317.0,0.05042,13.762999999999998,319794490.648771
4846,4846,ITA,2000,7.912673166227003,56942108.0,0.41292,14.1255,327718000.60430896
4847,4847,ITA,2001,7.904432663262781,56974100.0,0.24167,13.954250000000002,318394438.24096
4848,4848,ITA,2002,7.932323042355084,57059007.0,0.22142,13.934000000000001,321838507.396878
4849,4849,ITA,2003,8.171751280416139,57313203.0,0.58433,14.296916666666668,330691091.039826
4850,4850,ITA,2004,8.216487201329379,57685327.0,-0.15275,13.559833333333332,343944758.362272
4851,4851,ITA,2005,8.166090127695462,57969484.0,-0.684,13.028583333333332,344088494.644558
4852,4852,ITA,2006,8.072145595677242,58143979.0,0.07475,13.787333333333335,348025901.980004
4853,4853,ITA,2007,7.917347216235377,58438310.0,0.36075,14.073333333333334,343463189.35533303
4854,4854,ITA,2008,7.601764969737992,58826731.0,0.16867,13.88125,324107983.540329
4855,4855,ITA,2009,6.7956514863729165,59095365.0,0.34033,14.052916666666668,303803797.366943
4856,4856,ITA,2010,6.838374570200992,59277417.0,-0.38767,13.324916666666667,322590066.879734
